position;address;balance;update_date
58;37ohgCp24snZY3sCbK38wfZLhiM6WxBDefw;393073.18979335;2019-02-15 17:05:24
59;382CUiHJe5FM3cLKr8BPN3vq8fUcjzCpXSY;392539.14462000;2019-02-15 17:05:24
60;385Uux5zY2WxAkSyVqHuopCerE2TBi9vbkf;390999.99900000;2019-02-15 17:05:24
61;37nAMNjj8H2LnRJ6Yma7f1b5XCnF7YR8bzE;390286.50394705;2019-02-15 17:05:24
62;37kL4hwJTusaA48kocab8VBUzdfZMG94bXM;390229.53938673;2019-02-15 17:05:24
63;37kXRNvZXwySZ3FF88XKKM2tDCzEciQB3TS;390176.54475869;2019-02-15 17:05:24
64;37zBdmULb4TmeHJgdcLBx9UhopEBXhWe2kv;389249.10498802;2019-02-15 17:05:24
65;37jhMWWzz4iDLjVYihjPFQYNFFdunzfznGK;389214.68685039;2019-02-15 17:05:24
66;37tKjjnPHJDW26M9NfGqNB3mxCSdR16NUy5;388211.57173616;2019-02-15 17:05:24
67;387pNLPtoQ136pU78doRHwa9sea2uso2owL;388110.25554746;2019-02-15 17:05:24
68;37oU4YQSqJVqVLVXpFso9gLAxfWAkCKPJJG;378255.25410693;2019-02-15 17:05:24
69;37ngugGKpxNtRyqsb8fzSAvbbZDHfn9tHeM;365607.06253593;2019-02-15 17:05:24
70;37vNqf1RsBuMQpdVnatA3bL6XVAPwo8GP3h;361763.46172327;2019-02-15 17:05:24
71;37uS39SCqpcdugAB88mRqq3TPyxVsniCfc2;360570.30378112;2019-02-15 17:05:24
72;37vY6Y5H66Dox1oHPd13Jsm6bGRwWwN9cuP;350315.61683560;2019-02-15 17:05:24
73;37xRBgVWPZfrC14EuMVoU4JGar8KsgyYfw6;350006.90649384;2019-02-15 17:05:24
74;37qm37ahyxGByDqkkQrxSBA8mjyUC7efDJn;348599.59461889;2019-02-15 17:05:24
75;383sYCwbqMZvvKBURVLmxbJeTVPTSzi8z4r;342433.71829645;2019-02-15 17:05:24
76;37pzLBtbrax5FGSZo7tGQsxU3SYHgNvEjz8;339186.39524469;2019-02-15 17:05:24
77;37toLpaUJvqNkFq1Neg1vTncQSSbd35PW36;329687.85376651;2019-02-15 17:05:24
78;37pz2mYqaqWzFbhGuHzMxmAvQFoPCqPVdXN;316761.50141457;2019-02-15 17:05:24
79;385CqgDcYzBN23pFHwdRVkLc6iqLCeiVRjA;303087.70754798;2019-02-15 17:05:24
80;37rwPTfQZguEotC5jsGXNbqXvQnEU3PjQb7;302971.95987063;2019-02-15 17:05:24
81;37rTwK5itJm78pMAp4vHYJtBTJWVCKJy2eV;300397.49447747;2019-02-15 17:05:24
82;37z4foXwCYWRhDwF76FRRB9gQDuX8MMnvva;300002.81498542;2019-02-15 17:05:24
83;37rZQff61ZJu34rQdR5MizZEYhFU5guCdbg;299827.94809223;2019-02-15 17:05:24
84;37mhRNFVshGWo95JR4PbN4Qrt5NAmMqu7rC;299779.07494508;2019-02-15 17:05:24
85;381oPqTVaHjg6GFateneVv2hG3dfihKGh1s;299681.01776541;2019-02-15 17:05:24
86;37sSTji7ZRZs4aYiuG6Q2GJntccMXk6YfU9;297549.89743957;2019-02-15 17:05:24
87;37mxvDUSq54jDquc8QbKvXVQbgQu6PzAaBX;291079.96531061;2019-02-15 17:05:24
88;37xD6jpU1zYGKz53Srntih61wToNqKgjkFX;287371.78676289;2019-02-15 17:05:24
89;37xHwQ5FAsCrKpBXCEcesJUn4kdBBGEai19;286622.42033571;2019-02-15 17:05:24
90;37jrnJkTz9RPsgv7T2ggwtn8Ke9dA77WcYg;277687.19573961;2019-02-15 17:05:24
91;37mWT9fhaKRQ5eJ2pMADFaGLhy5A54QK5Zz;271563.53649135;2019-02-15 17:05:24
92;37q2P4gPXkdZ1ow7PvTtiyL8WRY3JEtGMF3;263184.67500000;2019-02-15 17:05:24
93;37q4iP459KxYTfQDDm6qRzRtcaSbH6e7gwX;260000.00000000;2019-02-15 17:05:24
94;37rCuTDRmpY9KdiMDhNKPEPmM83NLV16rGs;260000.00000000;2019-02-15 17:05:24
95;37zF1WaVLhXH5aKZWjDLPXfFbsMCd8XiRpR;258755.25480391;2019-02-15 17:05:24
96;382rwqTq7qnUkqbQQ6JK1KxhWdJrhNB7JWM;255523.58984245;2019-02-15 17:05:24
97;37tZTwpDXbF9L7i8ZRTwoTXFVYjHEfmt21W;254777.74726386;2019-02-15 17:05:24
98;37mFbkJWCuw3XHPGHzASK9gWRqvoSBmBnQU;254205.94858155;2019-02-15 17:05:24
99;37nmgzaaBE3N9q2dkjQMdACmAKuHae6pYHU;253323.38254167;2019-02-15 17:05:24
100;37sroXdCYowRnWKBaj7ffcESeLNdWAMQEPn;251907.20395611;2019-02-15 17:05:24
